Episode 971: Total Reward = 485.0, Position = 40, Completed: False
Episode 972: Total Reward = 484.0, Position = 40, Completed: False
Episode 973: Total Reward = 1013.0, Position = 40, Completed: False
Episode 974: Total Reward = 496.0, Position = 40, Completed: False
Episode 975: Total Reward = 1271.0, Position = 1320, Completed: False
Episode 976: Total Reward = 859.0, Position = 40, Completed: False
Episode 977: Total Reward = 496.0, Position = 40, Completed: False
Episode 978: Total Reward = 458.0, Position = 40, Completed: False
Episode 979: Total Reward = 482.0, Position = 40, Completed: False
Episode 980: Total Reward = 481.0, Position = 40, Completed: False
Episode 981: Total Reward = 482.0, Position = 40, Completed: False
Episode 982: Total Reward = 482.0, Position = 40, Completed: False
Episode 983: Total Reward = 453.0, Position = 40, Completed: False
Episode 984: Total Reward = 811.0, Position = 40, Completed: False
Episode 985: Total Reward = 1479.0, Position = 1320, Completed: False
Episode 986: Total Reward = 461.0, Position = 40, Completed: False
Episode 987: Total Reward = 1569.0, Position = 1320, Completed: False
Episode 988: Total Reward = 483.0, Position = 40, Completed: False
Episode 989: Total Reward = 500.0, Position = 40, Completed: False
Episode 990: Total Reward = 478.0, Position = 40, Completed: False
Episode 991: Total Reward = 461.0, Position = 40, Completed: False
Episode 992: Total Reward = 482.0, Position = 40, Completed: False
Episode 993: Total Reward = 466.0, Position = 40, Completed: False
Episode 994: Total Reward = 482.0, Position = 40, Completed: False
Episode 995: Total Reward = 498.0, Position = 40, Completed: False
Episode 996: Total Reward = 466.0, Position = 40, Completed: False
Episode 997: Total Reward = 476.0, Position = 40, Completed: False
Episode 998: Total Reward = 1270.0, Position = 40, Completed: False
Episode 999: Total Reward = 872.0, Position = 40, Completed: False
Episode 1000: Total Reward = 1755.0, Position = 1320, Completed: False
Episode 1001: Total Reward = 479.0, Position = 40, Completed: False
Episode 1002: Total Reward = 464.0, Position = 40, Completed: False
Episode 1003: Total Reward = 465.0, Position = 40, Completed: False
Episode 1004: Total Reward = 459.0, Position = 40, Completed: False
Episode 1005: Total Reward = 798.0, Position = 40, Completed: False
Episode 1006: Total Reward = 1532.0, Position = 1320, Completed: False
Episode 1007: Total Reward = 450.0, Position = 40, Completed: False
Episode 1008: Total Reward = 500.0, Position = 40, Completed: False
Episode 1009: Total Reward = 464.0, Position = 40, Completed: False
Episode 1010: Total Reward = 473.0, Position = 40, Completed: False
Episode 1011: Total Reward = 448.0, Position = 40, Completed: False
Episode 1012: Total Reward = 470.0, Position = 40, Completed: False
Episode 1013: Total Reward = 1240.0, Position = 40, Completed: False
Episode 1014: Total Reward = 479.0, Position = 40, Completed: False
