Episode 403: Total Reward = 2053.0 | x_pos = 1129 | completed: False
Episode 404: Total Reward = 1531.0 | x_pos = 1424 | completed: False
Episode 405: Total Reward = 1307.0 | x_pos = 665 | completed: False
Episode 406: Total Reward = 1885.0 | x_pos = 1416 | completed: False
Episode 407: Total Reward = 1776.0 | x_pos = 681 | completed: False
Episode 408: Total Reward = 1086.0 | x_pos = 1418 | completed: False
Episode 409: Total Reward = 1816.0 | x_pos = 1428 | completed: False
Episode 410: Total Reward = 1963.0 | x_pos = 687 | completed: False
Episode 411: Total Reward = 1396.0 | x_pos = 1419 | completed: False
Episode 412: Total Reward = 1727.0 | x_pos = 722 | completed: False
Episode 413: Total Reward = 1343.0 | x_pos = 780 | completed: False
Episode 414: Total Reward = 1404.0 | x_pos = 1509 | completed: False
Episode 415: Total Reward = 2693.0 | x_pos = 1402 | completed: False
Episode 416: Total Reward = 2116.0 | x_pos = 1520 | completed: False
Episode 417: Total Reward = 1507.0 | x_pos = 1412 | completed: False
Episode 418: Total Reward = 1765.0 | x_pos = 688 | completed: False
